Time (ms),HEAD,Knee,ankle,food
40,65.1052398681641,80.1761245727539,146.379409790039,103.507247924805
80,82.2007522583008,100.218070983887,166.574844360352,96.8007965087891
120,96.8770446777344,120.54280090332,175.196884155273,76.6139526367188
160,96.5003890991211,130.823806762695,155.574844360352,88.8046646118164
200,80.9484024047852,135.220596313477,158.522918701172,198.323287963867
240,61.3924217224121,150.077865600586,303.564605712891,374.104736328125
280,48.1435966491699,183.847900390625,540.468139648438,578.811706542969
320,43.291072845459,220.570449829102,767.139221191406,752.823486328125
360,40.1408805847168,226.629638671875,873.478698730469,818.6396484375
400,31.8241786956787,177.984191894531,794.263305664063,733.396667480469
440,25.4519920349121,82.1434631347656,563.781982421875,530.613708496094
480,43.7098693847656,33.0976829528809,280.846588134766,291.211791992188
520,72.3779067993164,125.868057250977,85.7811965942383,109.62532043457
560,89.4756011962891,173.786529541016,193.391799926758,143.65234375
600,82.3135833740234,164.320129394531,268.001159667969,214.75764465332
640,55.0125617980957,114.665748596191,269.439392089844,236.286544799805
680,25.3296852111816,61.1639633178711,237.339096069336,225.906967163086
720,10.3715648651123,29.7258243560791,205.906921386719,205.291275024414
760,11.9324607849121,20.7934761047363,187.160110473633,187.692001342773
800,16.3479347229004,26.5538845062256,180.167587280273,178.109771728516
840,22.1669864654541,40.3456268310547,181.61344909668,175.70524597168
880,26.2625885009766,54.3954696655273,186.363021850586,176.809036254883
920,28.0529804229736,65.1282043457031,189.201263427734,178.47248840332
960,31.2496852874756,73.0121307373047,189.416275024414,180.116455078125
1000,37.852466583252,79.3885650634766,189.206100463867,181.500152587891
1040,45.4312171936035,83.1996612548828,188.22834777832,181.035095214844
1080,49.2646751403809,81.6297302246094,183.078216552734,176.924346923828
1120,46.1053504943848,74.614128112793,173.019180297852,170.282012939453
1160,37.9310035705566,67.2078552246094,164.137451171875,166.197204589844
1200,31.2995796203613,65.749870300293,163.983978271484,168.977066040039
1240,30.8297691345215,70.9261016845703,172.225494384766,176.667282104492
1280,32.3771934509277,75.5035171508789,179.478256225586,181.725845336914
1320,30.3240547180176,71.2429656982422,177.427276611328,178.612091064453
1360,22.5023880004883,55.0410346984863,169.242584228516,169.989852905273
1400,8.4899959564209,29.5677852630615,166.88037109375,162.663162231445
1440,10.6978101730347,7.87328815460205,175.365539550781,159.226440429688
1480,31.6167011260986,27.0044994354248,183.723281860352,155.989608764648
1520,49.9509086608887,47.3418083190918,180.481842041016,147.248443603516
1560,61.8483123779297,64.7129287719727,165.658126831055,128.413421630859
1600,65.0927047729492,78.26123046875,142.145477294922,95.3572387695313
1640,60.857608795166,89.3783950805664,106.90616607666,53.809024810791
1680,53.7441749572754,103.126968383789,83.3137969970703,87.4566955566406
1720,48.822998046875,125.126670837402,185.554901123047,204.249618530273
1760,46.6730613708496,155.404922485352,371.864959716797,358.845031738281
1800,43.3512840270996,182.644515991211,556.913818359375,526.7421875
1840,36.9054298400879,191.193801879883,674.697937011719,667.015991210938
