x	y	x	y	x	y	x	y
110.72	196.91	122.58	157.29	51.15	101.66	63.54	47.41
109.72	197.92	122.55	157.31	51.14	101.66	63.54	47.38
107.73	199.92	119.55	159.3	50.13	102.64	62.52	47.35
107.73	199.92	119.54	159.3	50.12	102.63	62.51	47.33
105.74	200.93	116.55	159.31	48.11	102.62	60.5	47.31
105.75	200.94	116.56	159.32	48.1	102.62	60.49	47.3
104.73	202.95	114.56	161.32	45.1	102.61	58.5	47.3
102.72	203.95	112.56	161.33	44.1	102.62	57.48	47.3
102.72	203.95	112.55	161.34	44.1	102.63	57.46	47.3
102.72	203.95	112.55	161.35	44.1	102.63	56.44	47.29
102.71	203.96	112.54	161.36	44.09	102.64	56.43	47.29
104.7	202.96	114.53	160.37	46.09	102.64	57.41	47.28
105.71	200.97	116.54	159.37	48.09	102.64	58.41	47.26
105.72	200.98	116.54	159.37	48.09	102.64	58.41	47.24
107.71	199.98	118.53	157.38	49.09	102.63	59.39	47.21
107.71	199.99	118.51	157.4	49.09	102.62	59.37	47.18
111.69	194.99	122.51	153.41	51.08	102.6	59.36	47.14
120.68	188.99	132.5	149.42	58.07	101.62	65.36	43.14
120.66	188.99	132.48	149.43	58.06	101.64	65.36	43.13
134.69	179.99	149.48	145.43	77.05	98.66	81.37	39.14
134.72	179.99	149.49	145.43	77.03	98.69	81.38	39.14
152.7	172.99	171.5	143.42	102.03	98.67	105.37	39.14
170.7	167.99	192.52	141.43	128.02	98.63	128.38	39.14
